Rank,Word,SFI,U (Freq/million
135,hand,69.96,992
136,school,69.92,983
137,house,69.92,981
138,place,69.89,975
139,water,69.88,973
140,next,69.77,949
141,small,69.77,948
142,talk,69.76,945
143,lot,69.72,937
144,new,69.68,928
145,question,69.65,922
146,boy,69.64,921
147,point,69.60,912
148,home,69.54,900
149,color,69.51,894
150,book,69.50,891
151,hear,69.50,890
152,world,69.43,877
153,start,69.37,866
154,turn,69.36,863
155,also,69.35,861
156,song,69.28,848
157,room,69.27,845
158,than,69.26,844
159,cookie,69.24,839
160,only,69.22,836
161,move,69.21,834
162,great,69.19,830
163,much,69.18,828
164,tree,69.10,812
165,different,69.09,810
166,which,69.07,806
167,dance,69.03,800
168,number,68.91,777
169,well,68.86,770
170,story,68.81,760
171,must,68.77,754
172,learn,68.75,750
173,family,68.73,747
174,stop,68.72,745
175,photo,68.71,743
176,together,68.71,742
177,any,68.70,742
178,listen,68.70,741
179,before,68.67,736
180,jump,68.61,726
181,open,68.60,725
182,mean,68.55,717
183,watch,68.51,709
184,sound,68.49,706
185,sure,68.47,704
186,should,68.39,691
187,head,68.37,687
188,game,68.36,686
189,through,68.36,685
190,wait,68.33,680
191,begin,68.30,676
192,doctor,68.30,676
193,eye,68.29,674
194,four,68.26,670
195,box,68.25,668
196,sit,68.23,665
197,class,68.22,664
198,another,68.07,642
199,please,68.05,639
200,girl,68.03,635
201,mother,68.02,634
202,dog,68.00,630
203,yeah,67.97,626
204,every,67.96,625
205,keep,67.91,618
206,kind,67.87,612
207,hold,67.86,611
208,most,67.84,609
209,fall,67.83,607
210,part,67.78,600
211,face,67.77,598
212,speak,67.75,595
213,bird,67.73,593
214,off,67.73,592
215,still,67.72,591
216,blue,67.72,591
217,night,67.68,587
218,late,67.67,585
219,left,67.63,579
220,never,67.63,579
221,fun,67.62,578
222,yes,67.59,575
223,door,67.57,571
224,become,67.56,570
225,bad,67.56,570
226,money,67.55,569
227,five,67.54,567
228,same,67.52,565
229,clap,67.48,560
230,fast,67.41,550
231,foot,67.39,548
232,mom,67.39,548
233,meet,67.34,542
234,happen,67.33,541
235,sentence,67.33,541
236,today,67.32,540
237,young,67.31,538
238,grow,67.31,538
239,beautiful,67.30,537
240,smile,67.30,537
241,always,67.29,536
242,wear,67.29,536
243,car,67.29,535
244,red,67.29,535
245,fish,67.28,535
246,last,67.27,533
247,circle,67.23,529
248,even,67.20,525
249,father,67.19,523
250,favorite,67.13,516
251,fly,67.11,513
252,group,67.09,512
253,bring,67.07,510
254,soon,67.05,507
255,woman,67.05,506
256,page,67.05,506
257,ready,66.98,499
258,build,66.97,498
259,life,66.96,497
260,stand,66.96,497
261,draw,66.93,493
262,change,66.93,493
263,bed,66.91,491
264,sea,66.89,489
265,important,66.87,487
266,hard,66.87,486
267,leave,66.86,485
268,morning,66.83,482
269,body,66.82,481
270,country,66.76,474
271,thank,66.73,471
272,large,66.70,468
273,stay,66.69,467
274,paper,66.65,463
275,activity,66.62,459
276,high,66.59,456
277,idea,66.59,456
278,count,66.59,456
279,person,66.55,452
280,may,66.54,451
281,line,66.54,451
282,someone,66.53,449
283,while,66.50,447
284,dad,66.49,445
285,few,66.44,441
286,follow,66.44,440
287,team,66.37,434
288,swim,66.37,434
289,paint,66.31,428
290,close,66.31,427
291,six,66.30,427
292,job,66.29,425
293,language,66.25,421
294,horse,66.23,420
295,example,66.20,417
296,pair,66.20,417
297,understand,66.18,415
298,nice,66.16,413
299,hair,66.16,413
300,cat,66.16,413
301,upbeat,66.15,413
302,town,66.15,412
303,under,66.13,410
304,end,66.12,409
305,repeat,66.12,409
306,clothes,66.12,409
307,often,66.11,408
308,board,66.10,407
309,ball,66.09,406
310,visit,66.06,403
311,along,66.05,403
312,everyone,66.01,399
313,light,65.98,397
314,cold,65.97,395
315,die,65.96,394
316,own,65.94,393
317,train,65.94,393
318,side,65.94,392
319,sleep,65.94,392
320,table,65.92,391
321,both,65.91,390
322,piece,65.90,389
323,okay,65.90,389
324,shout,65.90,389
325,interest,65.89,388
326,green,65.85,385
327,ride,65.85,385
328,plant,65.84,384
329,video,65.84,384
330,boat,65.79,379
331,cry,65.79,379
332,baby,65.78,378
333,believe,65.77,378
334,near,65.77,378
335,however,65.76,377
336,white,65.76,377
337,duck,65.73,374
338,sad,65.73,374
339,arm,65.72,373
340,remember,65.70,372
341,ever,65.70,371
342,enough,65.69,371
343,monster,65.69,371
344,hot,65.68,370
345,worry,65.67,369
346,anything,65.67,369
347,such,65.66,368
348,special,65.65,367
349,buy,65.64,366
350,clean,65.62,365
351,city,65.62,364
352,rock,65.61,364
353,maybe,65.60,363
354,card,65.59,362
355,kill,65.58,361
356,black,65.57,361
357,leg,65.56,360
358,strong,65.53,357
359,sometimes,65.52,356
360,park,65.51,356
361,problem,65.49,354
362,second,65.47,353
363,minute,65.47,352
364,street,65.46,351
365,warm,65.44,350
366,drink,65.43,349
367,rain,65.42,348
368,top,65.39,346
369,teacher,65.38,345
370,farm,65.38,345
371,without,65.36,344
372,sorry,65.36,344
373,study,65.36,343
374,inside,65.35,342
375,aloud,65.33,342
376,easy,65.31,340
377,climb,65.30,339
378,week,65.30,339
379,check,65.30,339
380,bye,65.29,338
381,break,65.24,334
382,correct,65.23,334
383,air,65.18,330
384,cut,65.16,328
385,river,65.14,327
386,bag,65.14,327
387,bus,65.13,326
388,until,65.13,326
389,everything,65.11,325
390,finger,65.11,325
391,toy,65.11,325
392,quickly,65.11,324
393,explain,65.05,320
394,land,65.01,317
395,forest,65.01,317
396,seven,65.00,316
397,front,64.99,316
398,sister,64.99,315
399,ship,64.98,315
400,outside,64.96,313
401,shake,64.95,313
402,mountain,64.94,312
403,brother,64.94,312
404,ground,64.93,311
405,hide,64.92,310
406,area,64.90,309
407,enjoy,64.89,308
408,step,64.88,307
409,surprise,64.88,307
410,course,64.87,307
411,care,64.87,307
412,share,64.85,306
413,far,64.84,305
414,sun,64.84,305
415,whoa,64.84,305
416,plan,64.80,302
417,angry,64.80,302
418,practice,64.79,301
419,bear,64.78,300
420,lose,64.76,299
421,egg,64.74,298
422,yellow,64.73,297
423,true,64.72,296
424,ring,64.72,296
425,hour,64.70,295
426,catch,64.70,295
427,flower,64.70,295
428,travel,64.67,293
429,pencil,64.65,292
430,fight,64.64,291
431,fire,64.64,291
432,hat,64.63,291
433,hope,64.62,290
434,round,64.59,288
435,teach,64.59,288
436,order,64.58,287
437,seem,64.58,287
438,beach,64.58,287
439,boo,64.58,287
440,eight,64.53,284
441,stomp,64.52,283
442,birthday,64.52,283
443,space,64.51,283
444,toward,64.50,282
445,sky,64.50,282
446,hey,64.50,282
447,complete,64.48,281
448,everybody,64.48,281
449,classroom,64.48,280
450,orange,64.47,280
451,usually,64.46,279
452,finish,64.46,279
453,stick,64.45,279
454,cook,64.45,279
455,apple,64.44,278
456,computer,64.36,273
457,nothing,64.35,272
458,decide,64.33,271
459,wrong,64.33,271
460,guess,64.31,270
461,lesson,64.28,268
462,short,64.27,267
463,crayon,64.27,267
464,present,64.26,267
465,real,64.26,267
466,window,64.26,267
467,save,64.25,266
468,king,64.25,266
469,behind,64.24,265
470,party,64.23,265
471,difficult,64.23,265
472,instruction,64.22,264
473,hello,64.22,264
474,past,64.20,263
475,object,64.20,263
476,wall,64.18,262
477,set,64.16,261
478,milk,64.15,260
479,ooh,64.15,260
480,pull,64.13,259
481,pick,64.11,258
482,send,64.08,256
483,banana,64.07,256
484,choose,64.06,255
485,might,64.05,254
486,information,64.03,253
487,dark,64.03,253
488,monkey,64.00,251
489,hi,63.99,251
490,dress,63.99,250
491,excite,63.99,250
492,afraid,63.99,250
493,elephant,63.98,250
494,chicken,63.95,248
495,else,63.94,248
496,voice,63.94,248
497,tall,63.90,245
498,item,63.89,245
499,shop,63.87,244
500,tire,63.86,243
501,police,63.86,243
502,shape,63.85,242
503,nose,63.85,242
504,able,63.84,242
505,shoe,63.83,242
506,toe,63.82,241
507,bee,63.82,241
508,chair,63.80,240
509,mouth,63.80,240
510,almost,63.70,235
511,hurt,63.69,234
512,across,63.68,234
513,race,63.68,234
514,sport,63.66,232
515,ear,63.65,232
516,partner,63.62,230
517,parent,63.60,229
518,hit,63.60,229
519,famous,63.59,228
520,arrive,63.58,228
521,once,63.56,227
522,chapter,63.55,227
523,shark,63.55,227
524,wish,63.53,225
525,full,63.52,225
526,brown,63.52,225
527,ago,63.51,224
528,paragraph,63.51,224
529,weather,63.50,224
530,cow,63.50,224
531,soccer,63.49,223
532,star,63.48,223
533,cheer,63.46,222
534,garden,63.45,221
535,ten,63.45,221
536,continue,63.43,221
537,match,63.43,221
538,lunch,63.43,221
539,between,63.42,220
540,throw,63.42,220
541,carry,63.41,219
542,wind,63.41,219
543,hungry,63.41,219
544,month,63.40,219
545,knock,63.40,219
546,captain,63.40,219
547,cover,63.38,218
548,forget,63.38,218
549,bike,63.38,218
550,drive,63.37,217
551,agree,63.37,217
552,whole,63.36,217
553,rope,63.36,217
554,movie,63.34,216
555,flashcard,63.30,214
556,yourself,63.29,214
557,slowly,63.29,214
558,yet,63.27,212
559,chant,63.26,212
560,during,63.25,211
561,add,63.25,211
562,rest,63.25,211
563,wonder,63.24,211
564,floor,63.24,211
565,dinner,63.24,211
566,heart,63.21,209
567,fruit,63.21,209
568,wash,63.17,207
569,shirt,63.16,207
570,dead,63.14,206
571,farmer,63.13,206
572,marry,63.12,205
573,moment,63.11,205
574,miss,63.11,205
575,treat,63.11,205
576,nine,63.11,205
577,wave,63.09,204
578,road,63.08,203
579,art,63.08,203
580,cool,63.08,203
581,dangerous,63.07,203
582,kite,63.07,203
583,bark,63.07,203
584,slow,63.06,202
585,snow,63.06,202
586,fine,63.05,202
587,cake,63.04,201
588,magic,63.04,201
589,dinosaur,63.02,200
590,reach,63.00,199
591,suddenly,62.99,199
592,potato,62.99,199
593,son,62.97,198
594,simple,62.95,197
595,quack,62.93,196
596,form,62.91,195
597,bell,62.90,195
598,cause,62.88,194
599,strange,62.83,192
600,act,62.82,192
601,tomorrow,62.82,192
602,roll,62.82,192
603,fact,62.77,189
604,pretend,62.77,189
605,frog,62.75,188
606,sell,62.74,188
607,safe,62.72,187
608,dream,62.67,185
609,wonderful,62.67,185
610,sign,62.66,185
611,store,62.66,185
612,hole,62.64,184
613,tooth,62.64,184
614,half,62.63,183
615,poor,62.62,183
616,future,62.61,182
617,knee,62.61,182
618,spend,62.59,182
619,return,62.58,181
620,mind,62.56,180
621,free,62.56,180
622,model,62.56,180
623,anyone,62.56,180
624,noise,62.56,180
625,trick,62.55,180
626,already,62.54,179
627,text,62.54,179
628,island,62.54,179
629,healthy,62.52,178
630,win,62.50,178
631,ice,62.50,178
632,above,62.48,177
633,aunt,62.48,177
634,himself,62.47,177
635,trip,62.47,177
636,tail,62.47,177
637,include,62.46,176
638,machine,62.46,176
639,loud,62.46,176
640,blow,62.45,176
641,mouse,62.44,175
642,since,62.42,175
643,village,62.41,174
644,smell,62.41,174
645,kitchen,62.39,173
646,touch,62.38,173
647,giggle,62.38,173
648,pretty,62.37,172
649,amaze,62.35,172
650,uncle,62.35,172
651,hop,62.35,172
652,beep,62.35,172
653,evening,62.34,171
654,wake,62.32,171
655,wife,62.31,170
656,imagine,62.31,170
657,moon,62.31,170
658,action,62.29,170
659,breakfast,62.28,169
660,join,62.27,169
661,lie,62.27,169
662,welcome,62.27,169
663,glass,62.26,168
664,sick,62.26,168
665,pass,62.22,167
666,reply,62.22,167
667,truck,62.21,166
668,low,62.20,166
669,pay,62.19,165
670,snake,62.19,165
671,ocean,62.16,164
672,phone,62.15,164
673,afternoon,62.14,164
674,copy,62.14,164
675,chance,62.10,162
676,foreign,62.06,161
677,quiet,62.06,161
678,rich,62.04,160
679,scare,62.04,160
680,ant,62.02,159
681,early,62.00,158
682,describe,62.00,158
683,summer,61.97,157
684,guy,61.96,157
685,restaurant,61.96,157
686,huge,61.91,155
687,though,61.89,155
688,middle,61.89,155
689,deep,61.89,155
690,push,61.89,155
691,carefully,61.89,155
692,pig,61.89,155
693,hundred,61.89,155
694,hurry,61.87,154
695,plane,61.83,152
696,boom,61.81,152
697,wheel,61.80,151
698,thousand,61.79,151
699,optional,61.79,151
700,experience,61.75,150
701,mine,61.75,150
702,several,61.73,149
703,crowd,61.73,149
704,busy,61.73,149
705,hang,61.72,149
706,delicious,61.72,149
707,alone,61.71,148
708,protect,61.69,148
709,rice,61.65,146
710,pet,61.65,146
711,human,61.64,146
712,adjective,61.64,146
713,beat,61.62,145
714,scientist,61.62,145
715,power,61.61,145
716,shall,61.59,144
717,perfect,61.57,143
718,bottom,61.57,143
719,lead,61.55,143
720,vegetable,61.55,143
721,chocolate,61.55,143
722,bread,61.54,142
723,cheese,61.54,142
724,o'clock,61.52,142
725,myself,61.51,142
726,skin,61.51,142
727,sheep,61.51,142
728,raise,61.50,141
729,sir,61.50,141
730,cave,61.50,141
731,festival,61.47,140
732,pause,61.45,140
733,bright,61.45,140
734,goodbye,61.45,140
735,perhaps,61.44,139
736,bottle,61.44,139
737,yum,61.44,139
738,snack,61.44,139
739,flap,61.44,139
740,clue,61.44,139
741,goat,61.42,139
742,scissors,61.41,138
743,type,61.39,138
744,finally,61.39,138
745,museum,61.39,138
746,lion,61.39,138
747,matter,61.38,137
748,office,61.38,137
749,zoo,61.38,137
750,culture,61.36,137
751,heavy,61.36,137
752,witch,61.36,137
753,business,61.35,136
754,member,61.35,136
755,doll,61.35,136
756,newspaper,61.33,136
757,gold,61.33,136
758,station,61.32,135
759,earth,61.32,135
760,soldier,61.32,135
761,vroom,61.32,135
762,butterfly,61.32,135
763,gun,61.27,134
764,provide,61.23,133
765,test,61.23,133
766,drop,61.23,133
767,yep,61.23,133
768,cup,61.20,132
769,kid,61.18,131
770,giant,61.18,131
771,program,61.17,131
772,create,61.17,131
773,news,61.17,131
774,cross,61.17,131
775,everywhere,61.17,131
776,clear,61.15,130
777,attention,61.15,130
778,review,61.15,130
779,bedroom,61.15,130
780,wing,61.15,130
781,stone,61.14,130
782,onto,61.14,130
783,meter,61.14,130
784,event,61.12,129
785,popular,61.12,129
786,hill,61.12,129
787,prepare,61.10,129
788,bridge,61.10,129
789,fill,61.09,128
790,bat,61.09,128
791,reason,61.07,128
792,note,61.07,128
793,lady,61.07,128
794,row,61.07,128
795,drum,61.07,128
796,dry,61.06,128
797,pen,61.06,128
798,daughter,61.04,127
799,funny,61.04,127
800,shoulder,61.04,127
801,center,61.02,127
802,straight,61.02,127
803,secret,61.01,126
804,scream,60.99,126
805,map,60.98,125
806,march,60.98,125
807,pant,60.91,123
808,energy,60.89,123
809,juice,60.89,123
810,square,60.88,122
811,coat,60.88,122
812,brush,60.88,122
813,pizza,60.88,122
814,report,60.86,122
815,size,60.83,121
816,bone,60.83,121
817,teddy,60.83,121
818,robot,60.83,121
819,hurrah,60.83,121
820,bit,60.81,121
821,winter,60.81,121
822,dear,60.81,121
823,promise,60.79,120
824,clock,60.79,120
825,desk,60.79,120
826,Saturday,60.79,120
827,wood,60.78,120
828,grandma,60.78,120
829,list,60.74,119
830,player,60.74,119
831,chorus,60.74,119
832,trouble,60.73,118
833,sweet,60.73,118
834,swing,60.73,118
835,probably,60.71,118
836,realize,60.71,118
837,lay,60.71,118
838,terrible,60.71,118
839,material,60.69,117
840,wild,60.69,117
841,breathe,60.69,117
842,possible,60.67,117
843,kiss,60.67,117
844,dirty,60.67,117
845,forward,60.64,116
846,dialog,60.64,116
847,purple,60.64,116
848,yesterday,60.62,115
849,castle,60.62,115
850,twenty,60.62,115
851,squeak,60.62,115
852,allow,60.60,115
853,weekend,60.60,115
854,artist,60.59,114
855,sock,60.59,114
856,gasp,60.59,114
857,quite,60.57,114
858,notice,60.55,114
859,servant,60.55,114
860,unit,60.53,113
861,sand,60.52,113
862,penguin,60.52,113
863,company,60.50,112
864,figure,60.50,112
865,skill,60.50,112
866,pocket,60.50,112
867,bowl,60.50,112
868,below,60.48,112
869,camera,60.48,112
870,whale,60.48,112
871,sandwich,60.48,112
872,homework,60.48,112
873,careful,60.46,111
874,swish,60.46,111
875,peek,60.44,111
