Word - The base word plus all the inflected forms for all parts of speech.			
FEL Rank - The rank based on frequency in sorted in descending order. Words with the same frequency are given the same rank.			
SFI - Standard Frequency Index (Carroll	 1971) A lognormal transformation of poportional frequency		
U - Estimated frequency per million words			

Word,FEL Rank,SFI,U
jaw,170,58.55,71.7
jerk,454,53.8,24
jog,212,57.25,53.06
juice,249,56.54,45.12
juicy,508,53.35,21.63
kettlebell,131,59.76,94.68
kickbox,504,53.39,21.84
kicker,469,53.69,23.39
kidney,503,53.41,21.94
kilocalorie,555,52.96,19.78
kilogram,427,54.06,25.45
kneecap,362,54.86,30.6
kneel,238,56.76,47.39
knuckle,157,58.98,79.12
kundalini,218,57.1,51.31
lactate,423,54.11,25.76
lap,335,55.19,33.07
lateral,90,61.62,145.16
lats,248,56.57,45.43
lemon,482,53.59,22.87
lengthen,26,66.16,412.82
leverage,522,53.2,20.91
lifestyle,291,55.96,39.46
lifter,381,54.52,28.33
lighter,207,57.41,55.12
limb,479,53.61,22.97
liver,219,57.08,51.1
lizard,494,53.49,22.36
loop,147,59.27,84.48
loosen,474,53.65,23.18
lotus,471,53.67,23.28
loudly,514,53.27,21.22
lung,36,65.03,318.34
lunge,17,68.11,647.5
mantra,203,57.49,56.15
manual,440,53.93,24.73
marathon,344,55.1,32.35
martial,521,53.23,21.02
massage,106,60.78,119.61
mat,5,71.47,1403.08
maximal,382,54.51,28.23
maximize,331,55.29,33.79
media,355,54.96,31.32
meditate,308,55.64,36.68
meditation,77,62.49,177.51
melt,112,60.49,111.88
mentally,475,53.65,23.18
metabolic,187,57.99,62.95
metabolism,119,60.13,103.02
micro,277,56.11,40.8
mid,215,57.19,52.34
midline,267,56.22,41.93
mimic,565,52.89,19.47
mindful,181,58.11,64.7
mindfully,411,54.19,26.27
mindfulness,407,54.21,26.37
mindset,569,52.87,19.37
mineral,138,59.56,90.45
mini,323,55.42,34.82
mister,577,52.82,19.16
mobility,280,56.06,40.39
modification,184,58.07,64.08
molecule,401,54.31,26.99
momentum,186,58.04,63.67
mudra,328,55.37,34.41
muscular,298,55.85,38.43
myofascial,472,53.67,23.28
namaste,79,62.24,167.52
navel,49,64.19,262.71
needle,372,54.66,29.26
neutral,144,59.36,86.23
nicely,227,56.9,49.04
non,299,55.85,38.43
nostril,275,56.14,41.11
nut,336,55.17,32.86
nutrient,130,59.82,96.02
nutrition,63,63.38,217.9
nutritional,272,56.18,41.52
obesity,452,53.86,24.31
obliques,84,62.1,162.37
obtain,570,52.87,19.37
omega,571,52.87,19.37
ooh,566,52.89,19.47
opener,220,57.06,50.79
optimal,318,55.48,35.34
optional,376,54.58,28.74
organ,326,55.38,34.51
