Rank,Word,SFI,U (Freq/million
612.,hole,62.64,184
148.,home,69.54,900
871.,homework,60.48,112
651.,hop,62.35,172
433.,hope,64.62,290
294.,horse,66.23,420
344.,hot,65.68,370
425.,hour,64.7,295
137.,house,69.92,981
49.,how,74.27,2674
335.,however,65.76,377
686.,huge,61.91,155
710.,human,61.64,146
693.,hundred,61.89,155
543.,hungry,63.41,219
818.,hurrah,60.83,121
694.,hurry,61.87,154
511.,hurt,63.69,234
3.,I,85.16,32799
631.,ice,62.5,178
277.,idea,66.59,456
55.,if,73.93,2470
656.,imagine,62.31,170
265.,important,66.87,487
11.,in,81.56,14321
637.,include,62.46,176
486.,information,64.03,253
374.,inside,65.35,342
472.,instruction,64.22,264
325.,interest,65.89,388
87.,into,71.72,1486
628.,island,62.54,179
9.,it,81.96,15704
498.,item,63.89,245
292.,job,66.29,425
660.,join,62.27,169
808.,juice,60.89,123
180.,jump,68.61,726
79.,just,72.07,1611
205.,keep,67.91,618
768.,kid,61.18,131
355.,kill,65.58,361
206.,kind,67.87,612
468.,king,64.25,266
842.,kiss,60.67,117
645.,kitchen,62.39,173
582.,kite,63.07,203
617.,knee,62.61,182
545.,knock,63.4,219
45.,know,74.87,3066
792.,lady,61.07,128
394.,land,65.01,317
293.,language,66.25,421
272.,large,66.7,468
246.,last,67.27,533
218.,late,67.67,585
96.,laugh,71.47,1402
836.,lay,60.71,118
718.,lead,61.55,143
172.,learn,68.75,750
267.,leave,66.86,485
219.,left,67.63,579
357.,leg,65.56,360
461.,lesson,64.28,268
108.,let,70.89,1229
127.,letter,70.17,1040
661.,lie,62.27,169
259.,life,66.96,497
313.,light,65.98,397
31.,like,76.29,4255
281.,line,66.54,451
745.,lion,61.39,138
828.,list,60.74,119
178.,listen,68.7,741
76.,little,72.39,1735
102.,live,71.16,1307
132.,long,70.02,1005
44.,look,74.97,3140
420.,lose,64.76,299
143.,lot,69.72,937
639.,loud,62.46,176
89.,love,71.67,1468
668.,low,62.2,166
538.,lunch,63.43,221
638.,machine,62.46,176
588.,magic,63.04,201
38.,make,75.34,3418
71.,man,72.62,1830
92.,many,71.51,1415
804.,map,60.98,125
805.,march,60.98,125
572.,marry,63.12,205
537.,match,63.43,221
838.,material,60.69,117
746.,matter,61.38,137
280.,may,66.54,451
353.,maybe,65.6,363
182.,mean,68.55,717
233.,meet,67.34,542
753.,member,61.35,136
782.,meter,61.14,130
688.,middle,61.89,155
485.,might,64.05,254
478.,milk,64.15,260
620.,mind,62.56,180
363.,minute,65.47,352
574.,miss,63.11,205
103.,mister,71.13,1298
622.,model,62.56,180
232.,mom,67.39,548
573.,moment,63.11,205
226.,money,67.55,569
488.,monkey,64,251
343.,monster,65.69,371
544.,month,63.4,219
657.,moon,62.31,170
80.,more,72.05,1605
268.,morning,66.83,482
208.,most,67.84,609
201.,mother,68.02,634
402.,mountain,64.94,312
641.,mouse,62.44,175
509.,mouth,63.8,240
161.,move,69.21,834
554.,movie,63.34,216
163.,much,69.18,828
744.,museum,61.39,138
84.,music,71.9,1548
171.,must,68.77,754
724.,myself,61.51,142
122.,name,70.4,1096
334.,near,65.77,378
107.,need,70.93,1239
220.,never,67.63,579
144.,new,69.68,928
772.,news,61.17,131
755.,newspaper,61.33,136
140.,next,69.77,949
298.,nice,66.16,413
217.,night,67.68,587
576.,nine,63.11,205
65.,no,72.89,1946
624.,noise,62.56,180
503.,nose,63.85,242
15.,not,80.36,10858
791.,note,61.07,128
457.,nothing,64.35,272
857.,notice,60.55,114
81.,now,72.01,1590
168.,number,68.91,777
475.,object,64.2,263
671.,ocean,62.16,164
723.,o'clock,61.52,142
10.,of,81.62,14507
214.,off,67.73,592
747.,office,61.38,137
307.,often,66.11,408
323.,okay,65.9,389
129.,old,70.13,1031
21.,on,78.78,7549
521.,once,63.56,227
37.,one,75.52,3562
160.,only,69.22,836
