Lemma,SFI,Frequency
usually,61.493,5,709
public,65.402,5,694
less,64.193,5,688
worry,63.094,5,676
yesterday,62.991,5,622
funny,60.991,5,622
road,62.325,5,617
discussion,61.611,5,590
front,62.702,5,554
record,64.610,5,526
across,64.149,5,504
absolutely,63.836,5,502
short,62.591,5,466
policy,64.378,5,462
difficult,63.405,5,454
teach,62.450,5,422
mine,60.826,5,402
piece,62.872,5,401
provide,63.180,5,390
comment,62.255,5,388
cover,62.962,5,315
mother,63.019,5,304
almost,64.392,5,294
list,62.146,5,287
difference,63.256,5,286
ninety,55.241,5,266
against,66.049,5,257
forget,61.317,5,255
page,60.916,5,242
light,62.487,5,196
happy,62.297,5,186
yourself,61.749,5,147
myself,62.154,5,141
dollar,63.300,5,139
cough,57.297,5,095
tape,60.620,5,094
allow,63.875,5,066
wear,61.335,5,060
forward,62.311,5,043
follow,63.571,5,023
experience,64.189,5,019
clock,59.026,5,011
listen,64.415,5,009
decision,63.854,4,960
mention,62.801,4,942
somewhere,60.279,4,911
eighty,55.517,4,901
bloody,57.085,4,885
age,62.916,4,879
outside,62.752,4,876
letter,61.361,4,853
during,64.367,4,836
language,62.358,4,821
card,61.050,4,811
large,64.461,4,801
stick,61.002,4,767
base,63.525,4,747
picture,62.441,4,745
table,61.227,4,744
enjoy,60.932,4,742
party,64.459,4,719
continue,64.838,4,718
pass,63.183,4,713
add,62.353,4,711
sixty,54.979,4,711
often,63.213,4,704
fall,63.593,4,697
grow,64.233,4,673
general,63.169,4,652
drink,60.611,4,648
carry,62.195,4,636
response,61.364,4,630
price,63.877,4,621
include,64.558,4,508
bed,59.328,4,488
position,62.794,4,482
soon,62.043,4,456
suggest,62.090,4,432
office,63.629,4,425
possible,63.079,4,420
fifteen,55.182,4,394
sign,63.129,4,359
face,64.106,4,358
draw,61.441,4,355
low,63.470,4,337
although,61.681,4,333
dog,60.631,4,325
present,61.610,4,315
amount,62.120,4,311
market,64.639,4,283
sing,63.013,4,245
save,62.151,4,238
game,64.237,4,213
lovely,56.935,4,196
choice,61.869,4,179
ready,61.691,4,179
food,63.141,4,176
die,63.353,4,171
health,63.878,4,163
color,60.621,4,157
community,64.746,4,153
miss,61.398,4,129
mathematics,58.574,4,129
address,62.360,4,127
town,62.740,4,123
win,65.198,4,103
foot,61.220,4,096
raise,63.276,4,057
discuss,61.533,4,056
committee,61.203,4,047
pull,61.598,4,037
box,60.111,4,034
dear,56.792,4,031
consider,63.054,4,030
rest,61.960,4,030
increase,62.897,4,010
nobody,61.313,3,988
computer,61.720,3,980
budget,60.912,3,973
fun,60.717,3,968
depend,60.648,3,965
particularly,61.955,3,961
study,63.761,3,955
tonight,61.897,3,953
everyone,62.202,3,951
afternoon,60.369,3,946
notice,60.261,3,933
baby,61.097,3,899
chance,62.542,3,896
standard,60.982,3,894
especially,62.570,3,893
middle,61.505,3,883
press,61.605,3,864
till,57.208,3,861
million,65.042,3,852
seventy,54.655,3,847
city,64.939,3,832
realize,61.714,3,827
score,60.404,3,822
weekend,61.332,3,788
black,64.944,3,781
lead,64.574,3,780
result,62.640,3,779
fit,59.511,3,772
staff,60.625,3,757
control,63.291,3,752
definitely,60.835,3,744
conversation,62.588,3,739
further,60.471,3,707
straight,59.925,3,700
free,62.242,3,696
shall,57.061,3,688
develop,62.011,3,685
college,61.839,3,665
opportunity,62.253,3,659
near,61.199,3,657
ought,59.772,3,652
per,59.805,3,651
bear,61.507,3,649
